/Users/oliverclive-griffin/personal/transformer-from-scratch/train.py:63: UserWarning: The operator 'aten::roll' is not currently supported on the MPS backend and will fall back to run on the CPU. This may have performance implications. (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/aten/src/ATen/mps/MPSFallback.mm:11.)
  y = torch.roll(x, -1, dims=-1)
epoch 15 batch 14 loss 2.016643524169922
epoch 15 batch 15 loss 2.02578067779541
epoch 15 batch 16 loss 2.0039639472961426
epoch 15 batch 17 loss 1.9313390254974365
epoch 15 batch 18 loss 1.9749904870986938
epoch 15 batch 19 loss 2.0287673473358154
epoch 15 batch 20 loss 1.9719144105911255
epoch 15 batch 21 loss 1.9522919654846191
epoch 15 batch 22 loss 2.045102834701538
epoch 15 batch 23 loss 1.9875224828720093
epoch 15 batch 24 loss 1.9845409393310547
epoch 15 batch 25 loss 1.939391851425171
epoch 15 batch 26 loss 1.961043357849121
epoch 15 batch 27 loss 1.9932000637054443
epoch 15 batch 28 loss 1.982444405555725
epoch 15 batch 29 loss 1.9805963039398193
epoch 15 batch 30 loss 2.0009207725524902
epoch 15 batch 31 loss 1.9960553646087646
epoch 15 batch 32 loss 1.9676647186279297
epoch 15 batch 33 loss 2.0007598400115967
epoch 15
<>' sdd\n dssdddslds sld<>
epoch 16 batch 0 loss 1.9677999019622803
epoch 16 batch 1 loss 1.974898099899292
epoch 16 batch 2 loss 1.955858588218689
epoch 16 batch 3 loss 1.9499037265777588
epoch 16 batch 4 loss 1.9486706256866455
epoch 16 batch 5 loss 1.9681477546691895
epoch 16 batch 6 loss 1.9809215068817139
epoch 16 batch 7 loss 1.9443788528442383
epoch 16 batch 8 loss 1.9104379415512085
epoch 16 batch 9 loss 1.9163103103637695
epoch 16 batch 10 loss 2.000168561935425
epoch 16 batch 11 loss 1.9177703857421875
epoch 16 batch 12 loss 1.9851047992706299
epoch 16 batch 13 loss 1.9187980890274048
epoch 16 batch 14 loss 1.9438226222991943
epoch 16 batch 15 loss 1.942748785018921
epoch 16 batch 16 loss 2.009392738342285
epoch 16 batch 17 loss 2.0050525665283203
epoch 16 batch 18 loss 1.9556269645690918
epoch 16 batch 19 loss 1.945038914680481
epoch 16 batch 20 loss 1.9784026145935059
epoch 16 batch 21 loss 2.013378620147705
epoch 16 batch 22 loss 1.9647295475006104
epoch 16 batch 23 loss 1.9507107734680176
epoch 16 batch 24 loss 1.955514907836914
epoch 16 batch 25 loss 1.9727228879928589
